music_id,artist_names,track_name,tempo,mean_mel,mean_rms,max_rms,mean_zcr,std_zcr,mean_centroid
73,Bruno Mars,That's What I Like,136.0,-44.72,0.2240999937057495,0.5040000081062317,0.1142,0.09,2659.51
74,DAY6,Congratulations,89.1,-37.25,0.23639999330043793,0.41200000047683716,0.1306,0.06,2663.95
75,TWS,plot twist,112.35,-44.56,0.21850000321865082,0.5436000227928162,0.1082,0.08,2510.95
76,BIGBANG,Sunset Glow,123.05,-36.23,0.29739999771118164,0.5270000100135803,0.1296,0.07,2880.02
77,"Jin, WENDY",Heart on the Window (with WENDY),143.55,-42.86,0.27950000762939453,0.5863000154495239,0.0853,0.05,2438.24
78,ROSÉ,drinks or coffee,136.0,-47.46,0.28850001096725464,0.5950000286102295,0.0641,0.07,2091.2
79,V,FRI(END)S,161.5,-53.47,0.17470000684261322,0.6265000104904175,0.0878,0.07,2285.38
80,SZA,BMF,129.2,-49.56,0.20659999549388885,0.6223999857902527,0.0691,0.04,1838.38
81,V,Love Me Again,73.83,-47.53,0.2305999994277954,0.5903000235557556,0.0733,0.06,2032.47
82,aespa,Drama,129.2,-38.65,0.3248000144958496,0.5444999933242798,0.1228,0.06,2593.69
83,BIGBANG,Haru Haru,123.05,-38.47,0.07980000227689743,0.15719999372959137,0.1276,0.07,2597.03
84,QWER,T.B.H,89.1,-41.78,0.23090000450611115,0.4771000146865845,0.1491,0.08,3028.79
85,NewJeans,OMG,129.2,-43.8,0.2985999882221222,0.5697000026702881,0.0873,0.05,2372.57
86,Lim Young Woong,Rainbow,95.7,-41.45,0.2517000138759613,0.4652999937534332,0.1092,0.08,2519.92
87,Lim Young Woong,"Our Blues, Our Life",136.0,-49.11,0.13740000128746033,0.37290000915527344,0.0659,0.04,1666.4
88,RIIZE,Boom Boom Bass,117.45,-44.51,0.2651999890804291,0.5924999713897705,0.0947,0.07,2438.45
89,"Car, the garden",Closely Far Away,92.29,-50.57,0.19460000097751617,0.49720001220703125,0.0665,0.05,1823.98
90,RIIZE,Get A Guitar,112.35,-48.06,0.24639999866485596,0.5952000021934509,0.0798,0.07,2111.87
91,SZA,Kill Bill,89.1,-47.77,0.2655999958515167,0.6600000262260437,0.0708,0.04,1769.39
92,"YANGHONGWON, Kid Milli, NO:EL, ksmartboi, Swings","Ballin (Feat. Kid Milli, NO:EL, Ksmartboi, Swings)",152.0,-43.66,0.22669999301433563,0.5414000153541565,0.0906,0.05,2298.41
93,Yoon Do Hyun,사랑했나봐,95.7,-43.68,0.05339999869465828,0.10320000350475311,0.0673,0.04,1700.03
94,yung kai,blue,99.38,-48.23,0.16349999606609344,0.3959999978542328,0.052,0.03,1275.95
