music_id,artist_names,track_name,genre,track_length_sec,release_country,tempo,mean_mel,mean_rms,max_rms,mean_zcr,std_zcr,mean_centroid
516,TOMORROW X TOGETHER,Love Language,K-Pop,177.514,USA,117.45,-42.87,0.2515000104904175,0.494700014591217,0.1218,0.09,3010.17
517,"TABLO, RM",Stop The Rain (TABLO X RM),Hip-Hop/Rap,190.356,USA,99.38,-48.14,0.3088000118732452,0.6000999808311462,0.0492,0.05,1524.51
518,Ed Sheeran,Old Phone,Pop,221.832,USA,107.67,-48.87,0.1186000034213066,0.3702000081539154,0.0866,0.08,2201.81
519,DAY6,Maybe Tomorrow,K-Pop,224.25,USA,99.38,-43.03,0.2502000033855438,0.5286999940872192,0.0893,0.05,2250.02
520,Yerin Baek,1-4-3,R&B/Soul,208.293,USA,80.75,-47.73,0.2270999997854232,0.5882999897003174,0.1002,0.08,2334.16
521,DAY6,끝났지 game over,K-Pop,169.628,USA,89.1,-42.63,0.2484000027179718,0.5960999727249146,0.1001,0.05,2372.05
522,Yerin Baek,Seeking happy in the crowd,R&B/Soul,82.013,USA,89.1,-49.25,0.2169999927282333,0.5767999887466431,0.0584,0.03,1829.63
523,"ROSÉ, F1 The Album",Messy (From F1® The Movie),Pop,179.056,USA,95.7,-44.49,0.2448000013828277,0.5450999736785889,0.097,0.08,2208.49
524,Yorushika,火星人,Alternative,234.929,USA,99.38,-44.41,0.1182999983429908,0.2518999874591827,0.0895,0.05,2093.49
525,Lim Jae Hyun,I'm a Little Drunk,K-Pop,260.444,USA,136.0,-44.18,0.1512999981641769,0.3120000064373016,0.0852,0.06,1797.76
526,ATLXS,PASSO BEM SOLTO - Slowed,Latin,116.072,USA,117.45,-38.71,0.1976999938488006,0.3388000130653381,0.097,0.05,2101.6
527,TOMORROW X TOGETHER,When the Day Comes,Soundtrack,221.267,USA,129.2,-39.25,0.2894999980926513,0.5199000239372253,0.1381,0.08,3344.91
528,D.O.,FOREVER,Soundtrack,243.324,USA,68.0,-45.4,0.2924000024795532,0.5322999954223633,0.0645,0.05,1798.07
529,tripleS,깨어 (Are You Alive),,,,99.38,-41.42,0.2754999995231628,0.5753999948501587,0.1313,0.07,2907.73
530,MEOVV,DROP TOP,K-Pop,195.836,USA,95.7,-44.09,0.2379000037908554,0.5030999779701233,0.1063,0.07,2502.06
531,BOYNEXTDOOR,I Feel Good,K-Pop,155.027,USA,143.55,-43.4,0.2949999868869781,0.5856999754905701,0.1046,0.07,2571.52
532,BOYNEXTDOOR,123-78,,,,136.0,-40.67,0.1172999963164329,0.2802000045776367,0.1129,0.05,2305.22
533,BOYNEXTDOOR,Step By Step,K-Pop,149.333,USA,117.45,-42.09,0.2563000023365021,0.5001999735832214,0.1027,0.07,2415.47
534,BOYNEXTDOOR,Is That True?,K-Pop,129.293,USA,112.35,-42.77,0.2565999925136566,0.494700014591217,0.0974,0.06,2559.42
535,BOYNEXTDOOR,Next Mistake,K-Pop,139.133,USA,161.5,-41.79,0.2304999977350235,0.4778000116348266,0.1173,0.09,2426.4
536,"Dave, Central Cee",Sprinter,Instrumental,233.064,USA,92.29,-47.2,0.2365999966859817,0.6381999850273132,0.0992,0.09,2454.56
537,Benson Boone,Mystical Magical,Pop,165.747,USA,117.45,-41.4,0.2089000046253204,0.4111000001430511,0.1201,0.08,2636.47
538,BOYNEXTDOOR,I Feel Good (English Ver.),,,,143.55,-40.52,0.3352999985218048,0.6004999876022339,0.1084,0.07,2790.01
539,wave to earth,bad,Alternative,263.25,USA,136.0,-44.85,0.1413999944925308,0.2849999964237213,0.0571,0.03,1487.23
540,Jin,Don’t Say You Love Me,K-Pop,180.716,USA,112.35,-48.71,0.264299988746643,0.5228000283241272,0.0562,0.04,1777.53
541,Jin,Nothing Without Your Love,K-Pop,176.126,USA,129.2,-39.38,0.2689000070095062,0.4713000059127807,0.1047,0.05,2586.46
542,"Jin, YENA",Loser (feat. YENA),K-Pop,155.638,USA,99.38,-38.17,0.3021000027656555,0.5713000297546387,0.1596,0.06,3152.87
543,Jin,With the Clouds,K-Pop,188.898,USA,103.36,-40.71,0.2354000061750412,0.5468999743461609,0.1186,0.05,2581.01
544,Jin,Rope It,K-Pop,165.809,USA,123.05,-38.7,0.3224999904632568,0.5421000123023987,0.1329,0.07,2867.05
545,Jin,Background,K-Pop,175.666,USA,129.2,-40.4,0.2655999958515167,0.5249000191688538,0.0934,0.04,2399.68
546,Jin,"To Me, Today",K-Pop,181.575,USA,78.3,-38.49,0.259799987077713,0.4589000046253204,0.1066,0.05,2674.54
547,Redoor,Forever Has Always Been,Pop/Rock,237.159,USA,152.0,-42.97,0.1985999941825866,0.4162999987602234,0.075,0.04,1599.05
548,RIIZE,Fly Up,Pop,178.176,USA,99.38,-40.31,0.2178000062704086,0.4887999892234802,0.1326,0.07,2783.66
549,RIIZE,Bag Bad Back,Pop,192.836,USA,161.5,-42.49,0.2910000085830688,0.5472000241279602,0.0814,0.06,2307.46
550,RIIZE,Odyssey,Pop,152.268,USA,129.2,-41.28,0.2775999903678894,0.5418999791145325,0.0933,0.07,2499.55
551,RIIZE,Ember to Solar,Pop,200.547,USA,129.2,-40.86,0.2603000104427337,0.531499981880188,0.1059,0.06,2595.78
552,RIIZE,Show Me Love,Pop,189.544,USA,78.3,-42.89,0.2777999937534332,0.4799999892711639,0.0759,0.04,2119.9
553,RIIZE,The End of the Day,Pop,222.995,USA,129.2,-46.43,0.2216999977827072,0.5016000270843506,0.0783,0.05,2052.01
554,RIIZE,Midnight Mirage,Pop,202.848,USA,117.45,-46.55,0.2739999890327453,0.6808000206947327,0.0972,0.07,2624.78
555,RIIZE,Inside My Love,Pop,159.554,USA,99.38,-43.56,0.2538999915122986,0.4966999888420105,0.0759,0.05,2165.38
556,RIIZE,Passage,Pop,39.696,USA,129.2,-59.13,0.1028999984264373,0.4600000083446502,0.0547,0.07,1043.26
557,RIIZE,Another Life,Pop,227.207,USA,103.36,-39.95,0.2393999993801117,0.5235999822616577,0.1154,0.06,2584.3
558,BAEKHYUN,Elevator,R&B/Soul,186.387,USA,152.0,-43.84,0.2973999977111816,0.6032000184059143,0.0763,0.05,2209.67
559,BAEKHYUN,Chocolate,R&B/Soul,184.253,USA,136.0,-44.99,0.3364000022411346,0.6984999775886536,0.0911,0.08,2387.94
560,BAEKHYUN,Black Dreams,R&B/Soul,140.36,USA,161.5,-47.38,0.0961999967694282,0.218199998140335,0.075,0.05,2126.16
561,i-dle,Good Thing,K-Pop,154.387,USA,129.2,-41.77,0.294400006532669,0.6279000043869019,0.1192,0.07,2793.14
562,BAEKHYUN,Love Comes Back,R&B/Soul,195.253,USA,107.67,-45.1,0.2486000061035156,0.4708999991416931,0.0637,0.05,1944.43
