artist_names,track_name,genre,track_length_sec,release_country
Crush,Love You With All My Heart,Soundtrack,244.187,USA
Lim Young Woong,Nest,K-Pop,172.28,USA
TWS,"If I’m S, Can You Be My N?",K-Pop,168.027,USA
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Hip-Hop/Rap,158.04,USA
Jin,The Astronaut,K-Pop,282.463,USA
PLAVE,Pump Up The Volume!,Electronic,389.067,USA
BOYNEXTDOOR,Nice Guy,K-Pop,164.92,USA
Mitski,My Love Mine All Mine,Alternative,137.773,USA
ECLIPSE,Sudden Shower,Soundtrack,233.699,USA
Kim MinSeok,DrunKen Confession,K-Pop,227.96,USA
ROSÉ,gameboy,Pop,166.742,USA
HYUKOH,Wi Ing Wi Ing,Rock,194.867,USA
PLAVE,WAY 4 LUV,Korean Rock,219.453,USA
YENA,NEMONEMO,K-Pop,178.027,USA
Jung Kook,Never Let Go,K-Pop,166.812,USA
Kenshi Yonezu,Lemon,J-Pop,256.116,USA
"G-DRAGON, ROSÉ",Without You (Feat. ROSE),K-Pop,242.677,USA
Geeks,Officially Missing You,Hip-Hop/Rap,211.827,USA
Nerd Connection,‎Good Night Good Dream,K-Pop,265.983,USA
Lim Young Woong,HERO,Adult Contemporary,216.587,USA
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Pop,141.806,USA
BABYMONSTER,SHEESH,K-Pop,170.357,USA
JANNABI,for lovers who hesitate,K-Pop,265.0,USA
"Loopy, OSUN, JP",OTL (OFF THE LEASH),Christian,127.248,USA
SZA,What Do I Do,R&B/Soul,167.448,USA
Sabrina Carpenter,Taste,Pop,157.28,USA
Justin Bieber,Love Yourself,Pop,233.719,USA
Chappell Roan,"Good Luck, Babe!",Pop,218.424,USA
BIGBANG,Lies,K-Pop,229.12,USA
Lim Jae Hyun,Rhapsody of Sadness,R&B/Soul,235.12,USA
"SZA, Travis Scott",Open Arms (feat. Travis Scott),R&B/Soul,239.613,USA
Lim Young Woong,Elevator,Trot,207.435,USA
OFFICIAL HIGE DANDISM,Pretender,J-Pop,326.44,USA
"Nicky Youre, hey daisy",Sunroof,Pop,163.026,USA
"TWICE, Megan Thee Stallion",Strategy (feat. Megan Thee Stallion),Pop,201.76,USA
NCT WISH,Steady,K-Pop,179.68,USA
Nerd Connection,Silently Completely Eternally,Rock,189.0,USA
LE SSERAFIM,Smart,K-Pop,166.384,USA
Jung Kook,Yes or No,K-Pop,147.557,USA
Leina,utatane,J-Pop,181.022,USA
fromis_9,DM,K-Pop,204.293,USA
